"n.tips","q01","q10","s","anccond.01","anccond.10","phyloglm","pgls","n.valid"
50,0.1,0.1,1,0.0158730158730159,0.0320855614973262,0.035,0.03,189
50,0.1,0.1,2,0.0543478260869565,0.0588235294117647,0.06,0.05,184
50,0.1,0.1,3,0.027027027027027,0.0523560209424084,0.075,0.1,185
50,0.1,0.1,5,0.043010752688172,0.0366492146596859,0.145,0.11,186
50,0.1,0.1,10,0.0631578947368421,0.0520833333333333,0.205,0.145,190
50,0.5,0.1,1,0.035,0.0253807106598985,0.025,0.045,200
50,0.5,0.1,2,0.025,0.0253807106598985,0.09,0.065,200
50,0.5,0.1,3,0.0251256281407035,0.0251256281407035,0.105,0.065,199
50,0.5,0.1,5,0.06,0.0555555555555556,0.17,0.155,200
50,0.5,0.1,10,0.0753768844221105,0.0703517587939698,0.325,0.22,199
50,1,0.1,1,0.02,0.025,0.055,0.045,200
50,1,0.1,2,0.035,0.025,0.07,0.07,200
50,1,0.1,3,0.045,0.04,0.105,0.095,200
50,1,0.1,5,0.04,0.035,0.195,0.145,200
50,1,0.1,10,0.085,0.025,0.265,0.165,200
50,2,0.1,1,0.045,0.02,0.05,0.05,200
50,2,0.1,2,0.08,0.015,0.07,0.095,200
50,2,0.1,3,0.045,0.03,0.085,0.07,200
50,2,0.1,5,0.04,0.03,0.22,0.105,200
50,2,0.1,10,0.04,0.05,0.175,0.17,200
100,0.1,0.1,1,0.0160427807486631,0.0478723404255319,0.02,0.04,187
100,0.1,0.1,2,0.0434782608695652,0.0384615384615385,0.04,0.055,184
100,0.1,0.1,3,0.0526315789473684,0.0380434782608696,0.06,0.04,190
100,0.1,0.1,5,0.0736842105263158,0.077720207253886,0.13,0.08,190
100,0.1,0.1,10,0.0858585858585859,0.0909090909090909,0.305,0.145,198
100,0.5,0.1,1,0.015,0.0301507537688442,0.015,0.045,200
100,0.5,0.1,2,0.025,0.035,0.05,0.065,200
100,0.5,0.1,3,0.025,0.035,0.065,0.125,200
100,0.5,0.1,5,0.07,0.1,0.115,0.15,200
100,0.5,0.1,10,0.1,0.105,0.255,0.09,200
100,1,0.1,1,0.015,0.05,0.03,0.055,200
100,1,0.1,2,0.04,0.02,0.045,0.06,200
100,1,0.1,3,0.03,0.075,0.11,0.105,200
100,1,0.1,5,0.07,0.04,0.15,0.17,200
100,1,0.1,10,0.08,0.055,0.21,0.18,200
100,2,0.1,1,0.03,0.015,0.045,0.045,200
100,2,0.1,2,0.03,0.015,0.035,0.08,200
100,2,0.1,3,0.04,0.04,0.11,0.13,200
100,2,0.1,5,0.045,0.035,0.105,0.13,200
100,2,0.1,10,0.035,0.04,0.195,0.18,200
200,0.1,0.1,1,0.0268817204301075,0.0478723404255319,0.01,0.04,186
200,0.1,0.1,2,0.0466321243523316,0.0434782608695652,0.02,0.09,193
200,0.1,0.1,3,0.0518134715025907,0.0785340314136126,0.07,0.08,193
200,0.1,0.1,5,0.0663265306122449,0.077319587628866,0.11,0.12,196
200,0.1,0.1,10,0.11,0.135678391959799,0.28,0.16,200
200,0.5,0.1,1,0.0251256281407035,0.05,0.005,0.05,199
200,0.5,0.1,2,0.065,0.075,0.03,0.09,200
200,0.5,0.1,3,0.03,0.115,0.04,0.135,200
200,0.5,0.1,5,0.07,0.165,0.115,0.125,200
200,0.5,0.1,10,0.09,0.215,0.305,0.195,200
200,1,0.1,1,0.03,0.02,0.015,0.05,200
200,1,0.1,2,0.05,0.075,0.01,0.035,200
200,1,0.1,3,0.06,0.1,0.035,0.14,200
200,1,0.1,5,0.035,0.135,0.08,0.125,200
200,1,0.1,10,0.06,0.155,0.2,0.21,200
200,2,0.1,1,0.025,0.01,0.01,0.045,200
200,2,0.1,2,0.04,0.065,0.035,0.095,200
200,2,0.1,3,0.015,0.055,0.03,0.085,200
200,2,0.1,5,0.03,0.07,0.08,0.115,200
200,2,0.1,10,0.03,0.095,0.125,0.12,200
500,0.1,0.1,1,0.0618556701030928,0.0461538461538462,0.005,0.045,194
500,0.1,0.1,2,0.0804020100502513,0.0904522613065327,0.01,0.095,199
500,0.1,0.1,3,0.0757575757575758,0.115577889447236,0.005,0.11,198
500,0.1,0.1,5,0.146464646464646,0.14,0.075,0.15,198
500,0.1,0.1,10,0.195,0.265,0.29,0.175,200
500,0.5,0.1,1,0.015,0.11,0,0.05,200
500,0.5,0.1,2,0.02,0.175,0.005,0.065,200
500,0.5,0.1,3,0.05,0.26,0.015,0.09,200
500,0.5,0.1,5,0.075,0.49,0.11,0.225,200
500,0.5,0.1,10,0.07,0.735,0.305,0.295,200
500,1,0.1,1,0.03,0.085,0.015,0.05,200
500,1,0.1,2,0.035,0.145,0,0.075,200
500,1,0.1,3,0.06,0.265,0.035,0.11,200
500,1,0.1,5,0.09,0.52,0.13,0.225,200
500,1,0.1,10,0.055,0.66,0.27,0.255,200
500,2,0.1,1,0.01,0.045,0,0.055,200
500,2,0.1,2,0.06,0.095,0.015,0.055,200
500,2,0.1,3,0.06,0.19,0.055,0.11,200
500,2,0.1,5,0.06,0.3,0.08,0.12,200
500,2,0.1,10,0.04,0.395,0.135,0.165,200
