"alpha","delta.theta","sigma","FP.standard","FP.pruned","n.prunable","n.NA.std","mean.p.std","mean.p.pr"
0.5,2,1,0.0606060606060606,0.03125,100,1,0.46731975100786,0.4549004164967
2,2,1,0.0808080808080808,0.09375,100,1,0.393891536700597,0.382466356815153
8,2,1,0.0808080808080808,0.0729166666666667,100,1,0.353634292092147,0.361499049765373
0.5,4,1,0.0505050505050505,0.0520833333333333,100,1,0.44466529243603,0.428717645801555
2,4,1,0.101010101010101,0.09375,100,1,0.354548657862833,0.348208371885982
8,4,1,0.0808080808080808,0.0625,100,1,0.346081401491223,0.34950016725686
0.5,8,1,0.0808080808080808,0.0833333333333333,100,1,0.38741274873708,0.385010139948488
2,8,1,0.101010101010101,0.114583333333333,100,1,0.33860764882062,0.332700455437168
8,8,1,0.0707070707070707,0.0625,100,1,0.341977706275361,0.344468643245305
