"n.tips","alpha","delta.th","sig_f","sig_std","sig_pr","sig_plg"
200,0.5,2,0.0879120879120879,0.043956043956044,0.0659340659340659,0.010989010989011
500,0.5,2,0.21,0.09,0.1,0
200,2,2,0.333333333333333,0.0860215053763441,0.0967741935483871,0.150537634408602
500,2,2,0.44,0.11,0.09,0.06
200,8,2,0.591397849462366,0.182795698924731,0.204301075268817,0.462365591397849
500,8,2,0.626262626262626,0.202020202020202,0.202020202020202,0.484848484848485
200,0.5,4,0.182795698924731,0.0537634408602151,0.0537634408602151,0.021505376344086
500,0.5,4,0.343434343434343,0.0505050505050505,0.0404040404040404,0
200,2,4,0.548387096774194,0.150537634408602,0.182795698924731,0.473118279569892
500,2,4,0.520408163265306,0.193877551020408,0.193877551020408,0.418367346938776
200,8,4,0.571428571428571,0.131868131868132,0.120879120879121,0.527472527472527
500,8,4,0.551020408163265,0.183673469387755,0.173469387755102,0.438775510204082
200,0.5,8,0.559139784946237,0.043010752688172,0.0537634408602151,0.397849462365591
500,0.5,8,0.565656565656566,0.0606060606060606,0.0909090909090909,0.252525252525253
200,2,8,0.547368421052632,0.0947368421052632,0.105263157894737,0.578947368421053
500,2,8,0.464646464646465,0.141414141414141,0.161616161616162,0.484848484848485
200,8,8,0.583333333333333,0.239583333333333,0.25,0.614583333333333
500,8,8,0.53,0.2,0.2,0.66
